K11,K12,K13,K14,K15,K16,K21,K22,K23,K24,K25,K26,K31,K32,K33,K34,K35,K36,K41,K42,K43,K44,K45,K46,K51,K52,K53,K54,K55,K56,K61,K62,K63,K64,K65,K66,F1,F2,F3,F4,F5,F6,U1,U2,U3,U4,U5,U6
24053157.48428602,-18039868.113214515,12026578.74214301,0.0,0.0,0.0,-18039868.113214515,42205119.75908768,6125383.532658648,-24165251.645873163,24165251.645873163,0.0,12026578.74214301,6125383.532658648,56273493.01211691,-24165251.645873163,16110167.763915442,0.0,0.0,-24165251.645873163,-24165251.645873163,45101717.23471263,-3228786.0570336953,20936465.588839468,0.0,24165251.645873163,16110167.763915442,-3228786.0570336953,60135622.979616836,13957643.725892978,0.0,0.0,0.0,20936465.588839468,13957643.725892978,27915287.451785956,-7762.469588267724,-64918.32607477474,-6114.502848389462,-54144.69870581824,9705.711971374962,4171.260465282225,-0.01922274538901943,-0.03035554013358396,-0.007733262299708908,-0.029169591724575353,0.008770600250377894,0.01764131933589821
4817634.632818977,-3613225.974614233,2408817.3164094887,0.0,0.0,0.0,-3613225.974614233,9044518.215556562,1818066.2663280955,-5431292.240942328,5431292.240942328,0.0,2408817.3164094887,1818066.2663280955,12059357.620742083,-5431292.240942328,3620861.493961552,0.0,0.0,-5431292.240942328,-5431292.240942328,27934994.707046486,17072410.225161828,22503702.466104157,0.0,5431292.240942328,3620861.493961552,17072410.225161828,37246659.60939531,15002468.310736105,0.0,0.0,0.0,22503702.466104157,15002468.310736105,30004936.62147221,-8594.825120437477,-38041.705417824516,4509.081768266784,-39804.24493616344,-5096.594941046425,9182.338293217119,-0.05486804471341786,-0.08121783087714125,-0.01565872536043992,-0.0673880943232757,0.029596633809080508,0.03604878142294551
9483235.697674064,-7112426.7732555475,4741617.848837032,0.0,0.0,0.0,-7112426.7732555475,28913076.900354423,14688223.353843326,-21800650.127098873,21800650.127098873,0.0,4741617.848837032,14688223.353843326,38550769.20047256,-21800650.127098873,14533766.751399249,0.0,0.0,-21800650.127098873,-21800650.127098873,36846869.5675977,-6754430.686600044,15046219.440498829,0.0,21800650.127098873,14533766.751399249,-6754430.686600044,49129159.4234636,10030812.960332552,0.0,0.0,0.0,15046219.440498829,10030812.960332552,20061625.920665104,-7381.9850581139035,-40713.99918599615,1192.6370542290897,-51930.76070200442,-4931.557559565179,11120.905563449993,-0.026454728488902738,-0.03729568714968045,-0.004590923179430337,-0.03304842008928552,0.009009695240067827,0.020835804648083725
17025253.979922056,-12768940.484941542,8512626.989961028,0.0,0.0,0.0,-12768940.484941542,18135488.30647627,-7402392.663406814,-5366547.821534728,5366547.821534728,0.0,8512626.989961028,-7402392.663406814,24180651.075301692,-5366547.821534728,3577698.5476898183,0.0,0.0,-5366547.821534728,-5366547.821534728,11552707.178788641,819611.5357191861,6186159.357253914,0.0,5366547.821534728,3577698.5476898183,819611.5357191861,15403609.571718188,4124106.2381692757,0.0,0.0,0.0,6186159.357253914,4124106.2381692757,8248212.476338551,-16095.131634909385,-94171.52598657047,799.7546076286144,-82372.95210332604,3133.1033534528615,12162.273673827909,-0.0836681415423695,-0.14942072217931485,-0.05868553634052093,-0.15881690251198266,0.04855650910293969,0.09630895680998333
13571318.612542706,-10178488.95940703,6785659.306271353,0.0,0.0,0.0,-10178488.95940703,39346251.14779557,18989273.228981517,-29167762.188388545,29167762.188388545,0.0,6785659.306271353,18989273.228981517,52461668.197060764,-29167762.188388545,19445174.79225903,0.0,0.0,-29167762.188388545,-29167762.188388545,53194036.595465004,-5141487.781312089,24026274.407076456,0.0,29167762.188388545,19445174.79225903,-5141487.781312089,70925382.12728667,16017516.271384303,0.0,0.0,0.0,24026274.407076456,16017516.271384303,32035032.542768605,-12420.019504051601,-62481.3261086253,4012.9303052281048,-42472.13787950265,2656.7991044794444,5750.290094344052,-0.023195986294993195,-0.031764727573191286,-0.003085452263345224,-0.0260474595780761,0.008574052410490817,0.015428068533030423
7470074.637525975,-5602555.978144481,3735037.3187629874,0.0,0.0,0.0,-5602555.978144481,32972820.684828207,21767708.728539243,-27370264.706683725,27370264.706683725,0.0,3735037.3187629874,21767708.728539243,43963760.91310427,-27370264.706683725,18246843.13778915,0.0,0.0,-27370264.706683725,-27370264.706683725,42676224.532191224,-12064304.881176226,15305959.8255075,0.0,27370264.706683725,18246843.13778915,-12064304.881176226,56901632.7095883,10203973.217005,0.0,0.0,0.0,15305959.8255075,10203973.217005,20407946.43401,-4702.117138595121,-32874.39950256473,-1553.898890331333,-49832.92868916468,-4098.944171868651,10354.960200795105,-0.025247595209975146,-0.03422389622834697,-0.0020995749820664133,-0.028878484150448313,0.00765151933587761,0.01834050188570961
10363820.185812343,-7772865.139359257,5181910.092906171,0.0,0.0,0.0,-7772865.139359257,33901450.80985339,18355720.531134877,-26128585.670494135,26128585.670494135,0.0,5181910.092906171,18355720.531134877,45201934.41313785,-26128585.670494135,17419057.113662757,0.0,0.0,-26128585.670494135,-26128585.670494135,49608612.97604481,-2648558.3649434596,23480027.305550676,0.0,26128585.670494135,17419057.113662757,-2648558.3649434596,66144817.30139308,15653351.537033783,0.0,0.0,0.0,23480027.305550676,15653351.537033783,31306703.074067567,-12458.61100593072,-61820.01980767182,4310.5487426374975,-57673.0846214896,-2928.2370139100904,11076.299277203312,-0.03139896930446278,-0.04243848989363161,-0.003264046938801792,-0.03425833217841856,0.01139130046141293,0.020351898511165777
25027526.88085848,-18770645.16064386,12513763.44042924,0.0,0.0,0.0,-18770645.16064386,39316503.402624,1775213.0813362822,-20545858.241980143,20545858.241980143,0.0,12513763.44042924,1775213.0813362822,52422004.536832005,-20545858.241980143,13697238.827986762,0.0,0.0,-20545858.241980143,-20545858.241980143,25825854.91275715,-15265861.571203137,5279996.670777006,0.0,20545858.241980143,13697238.827986762,-15265861.571203137,34434473.21700953,3519997.7805180037,0.0,0.0,0.0,5279996.670777006,3519997.7805180037,7039995.5610360075,-7903.777699225811,-30583.970921462595,5612.898424630757,-34102.22468978851,-6785.649680739396,9076.52895533445,-0.014897873562463785,-0.025148875549319563,-0.008559172968418249,-0.03254465496940305,0.0012204732401294076,0.025087535101079084
15875003.643980274,-11906252.732985206,7937501.821990137,0.0,0.0,0.0,-11906252.732985206,18808405.83236847,-5004099.633601939,-6902153.099383267,6902153.099383267,0.0,7937501.821990137,-5004099.633601939,25077874.443157963,-6902153.099383267,4601435.399588845,0.0,0.0,-6902153.099383267,-6902153.099383267,12694033.22789216,-1110272.9708743729,5791880.128508894,0.0,6902153.099383267,4601435.399588845,-1110272.9708743729,16925377.63718955,3861253.4190059295,0.0,0.0,0.0,5791880.128508894,3861253.4190059295,7722506.838011859,-10481.335249332347,-44120.689332156915,6255.77405461239,-59307.088911115745,-11317.907247598665,15543.468442318623,-0.0426984210664673,-0.074494196799474,-0.027664935944188288,-0.08376628345132812,0.019126262927195235,0.055274330193090984
24918201.029214222,-18688650.771910667,12459100.514607111,0.0,0.0,0.0,-18688650.771910667,31054135.494351268,-6323166.049470067,-12365484.7224406,12365484.7224406,0.0,12459100.514607111,-6323166.049470067,41405513.99246836,-12365484.7224406,8243656.481627068,0.0,0.0,-12365484.7224406,-12365484.7224406,31320202.992438853,6589233.547557652,18954718.269998252,0.0,12365484.7224406,8243656.481627068,6589233.547557652,41760270.65658514,12636478.846665502,0.0,0.0,0.0,18954718.269998252,12636478.846665502,25272957.693331003,-2008.724732112129,-54161.33879220143,-14036.330133176218,-74838.81925829555,7143.836644478177,8901.21822081017,-0.02801790707246595,-0.04917957608248586,-0.01789477548057024,-0.05033699131493206,0.017294758008374385,0.029457567747210173
32178468.181010302,-24133851.135757726,16089234.090505151,0.0,0.0,0.0,-24133851.135757726,29367561.13366357,-18900141.137851883,-5233709.997905842,5233709.997905842,0.0,16089234.090505151,-18900141.137851883,39156748.17821809,-5233709.997905842,3489139.998603895,0.0,0.0,-5233709.997905842,-5233709.997905842,21373484.930536173,10906064.934724487,16139774.93263033,0.0,5233709.997905842,3489139.998603895,10906064.934724487,28497979.907381564,10759849.955086887,0.0,0.0,0.0,16139774.93263033,10759849.955086887,21519699.910173774,-9027.27158198448,-74284.00521982767,-6706.79190930693,-77929.95283079761,5491.476038983614,10242.587452307796,-0.059816498939279934,-0.11225413174051516,-0.04930927501592147,-0.11483588398330569,0.04695973202255624,0.06312301027936346
21045618.438050337,-15784213.828537753,10522809.219025169,0.0,0.0,0.0,-15784213.828537753,25992556.73201888,-5575870.925056625,-10208342.903481128,10208342.903481128,0.0,10522809.219025169,-5575870.925056625,34656742.30935851,-10208342.903481128,6805561.935654085,0.0,0.0,-10208342.903481128,-10208342.903481128,22160705.831730038,1744020.0247677825,11952362.92824891,0.0,10208342.903481128,6805561.935654085,1744020.0247677825,29547607.775640048,7968241.95216594,0.0,0.0,0.0,11952362.92824891,7968241.95216594,15936483.90433188,-9476.752703739734,-53181.2738249463,1226.414132497368,-30723.55930834197,6259.490706370743,1990.847864871623,-0.02413386132424322,-0.04067653075353504,-0.01364766499749293,-0.04015623752375341,0.013434645787670348,0.023524779157969022
33746509.27099688,-25309881.953247663,16873254.63549844,0.0,0.0,0.0,-25309881.953247663,52506222.792921364,1886458.8864260353,-27196340.839673698,27196340.839673698,0.0,16873254.63549844,1886458.8864260353,70008297.05722848,-27196340.839673698,18130893.8931158,0.0,0.0,-27196340.839673698,-27196340.839673698,33983066.24263619,-20409615.436711207,6786725.402962493,0.0,27196340.839673698,18130893.8931158,-20409615.436711207,45310754.99018159,4524483.601974995,0.0,0.0,0.0,6786725.402962493,4524483.601974995,9048967.20394999,-9977.208819752406,-39817.53481035218,6681.906036054086,-45136.71253788649,-8454.965278565523,11750.268062263844,-0.014801593697652696,-0.025134070756439753,-0.008689221901386894,-0.03284299347534502,0.0010454939545637928,0.02540801847938735
14124416.2182043,-10593312.163653225,7062208.10910215,0.0,0.0,0.0,-10593312.163653225,31397723.300334573,10211098.973028123,-20804411.136681348,20804411.136681348,0.0,7062208.10910215,10211098.973028123,41863631.067112766,-20804411.136681348,13869607.424454233,0.0,0.0,-20804411.136681348,-20804411.136681348,43433265.722427174,1824443.449064482,22628854.58574583,0.0,20804411.136681348,13869607.424454233,1824443.449064482,57911020.96323624,15085903.057163887,0.0,0.0,0.0,22628854.58574583,15085903.057163887,30171806.114327773,-13196.37904543152,-49437.47970430991,9913.598189426406,-56068.8755992077,-12124.063487725669,15406.844343730783,-0.024243681750065364,-0.034999133857303195,-0.005879928361244692,-0.0311778265155653,0.009807485540277997,0.01899026424198086
12287703.67221571,-9215777.754161783,6143851.836107855,0.0,0.0,0.0,-9215777.754161783,13225916.770918638,-5205638.737404929,-4010139.016756854,4010139.016756854,0.0,6143851.836107855,-5205638.737404929,17634555.69455818,-4010139.016756854,2673426.011171236,0.0,0.0,-4010139.016756854,-4010139.016756854,21991155.690326907,13970877.656813197,17981016.67357005,0.0,4010139.016756854,2673426.011171236,13970877.656813197,29321540.920435876,11987344.449046701,0.0,0.0,0.0,17981016.67357005,11987344.449046701,23974688.898093402,-7230.500924603248,-64032.04121476834,-6883.011889049614,-83711.85468385217,323.07406602166884,13790.438747631193,-0.08334895123358767,-0.14902435768406155,-0.05801550178253449,-0.14560506630619222,0.06307063116891583,0.07824369239110962
15417000.141617753,-11562750.106213314,7708500.070808876,0.0,0.0,0.0,-11562750.106213314,40291033.773096435,17165533.560669802,-28728283.66688312,28728283.66688312,0.0,7708500.070808876,17165533.560669802,53721378.364128575,-28728283.66688312,19152189.11125541,0.0,0.0,-28728283.66688312,-28728283.66688312,39583065.296666324,-17873502.037099916,10854781.629783202,0.0,28728283.66688312,19152189.11125541,-17873502.037099916,52777420.395555094,7236521.086522135,0.0,0.0,0.0,10854781.629783202,7236521.086522135,14473042.17304427,-9392.523605142385,-44695.99989096928,3886.3805799616775,-63640.389727745474,-10201.17719222041,15707.320217401117,-0.022476364101870788,-0.03369250354906192,-0.006804490312283605,-0.03563309474924287,0.00508371024615721,0.025268247113992778
9925881.432952654,-7444411.07471449,4962940.716476327,0.0,0.0,0.0,-7444411.07471449,11656997.798307374,-3231824.3511216072,-4212586.723592883,4212586.723592883,0.0,4962940.716476327,-3231824.3511216072,15542663.731076498,-4212586.723592883,2808391.149061922,0.0,0.0,-4212586.723592883,-4212586.723592883,18960207.343674906,10535033.896489142,14747620.620082024,0.0,4212586.723592883,2808391.149061922,10535033.896489142,25280276.45823321,9831747.080054684,0.0,0.0,0.0,14747620.620082024,9831747.080054684,19663494.160109367,-16552.30012750422,-94782.37736398379,1510.4744670138443,-83812.83785703384,2146.03870196947,12895.786958520905,-0.10760599172034359,-0.18405993844411137,-0.06421310412649148,-0.1737192383413337,0.07368580710329789,0.09410234897877906
36068529.671626896,-27051397.25372017,18034264.835813448,0.0,0.0,0.0,-27051397.25372017,54174456.52556248,71662.0181221366,-27123059.27184231,27123059.27184231,0.0,18034264.835813448,71662.0181221366,72232608.70074996,-27123059.27184231,18082039.514561538,0.0,0.0,-27123059.27184231,-27123059.27184231,44132235.002276435,-10113883.541408181,17009175.730434127,0.0,27123059.27184231,18082039.514561538,-10113883.541408181,58842980.00303525,11339450.486956084,0.0,0.0,0.0,17009175.730434127,11339450.486956084,22678900.97391217,-6405.602444128563,-58957.36677738015,-6841.250704202925,-74515.31628754371,1655.2675341484046,11591.585614183083,-0.017265016859122673,-0.029077320653415763,-0.009441137922681279,-0.031922591929707575,0.00678706864606353,0.021059527232087014
17451678.23945356,-13088758.679590171,8725839.11972678,0.0,0.0,0.0,-13088758.679590171,18639358.717251085,-7538158.6419292595,-5550600.037660912,5550600.037660912,0.0,8725839.11972678,-7538158.6419292595,24852478.289668113,-5550600.037660912,3700400.0251072748,0.0,0.0,-5550600.037660912,-5550600.037660912,28713919.544084616,17612719.468762793,23163319.506423704,0.0,5550600.037660912,3700400.0251072748,17612719.468762793,38285226.058779486,15442213.004282469,0.0,0.0,0.0,23163319.506423704,15442213.004282469,30884426.008564938,-5603.574405509637,-63967.31499054898,-10115.289519163718,-63000.267649275884,10437.638632921417,5281.225291751938,-0.05292220385889802,-0.09483491029350527,-0.03705013944603289,-0.09175764335256635,0.040069331744307886,0.04895456626811096
8419285.566813497,-6314464.175110122,4209642.783406748,0.0,0.0,0.0,-6314464.175110122,31754506.322482586,19125577.972262345,-25440042.147372466,25440042.147372466,0.0,4209642.783406748,19125577.972262345,42339341.76331012,-25440042.147372466,16960028.09824831,0.0,0.0,-25440042.147372466,-25440042.147372466,32578718.696233805,-18301365.598511126,7138676.54886134,0.0,25440042.147372466,16960028.09824831,-18301365.598511126,43438291.59497841,4759117.699240893,0.0,0.0,0.0,7138676.54886134,4759117.699240893,9518235.398481786,-4355.691289032753,-45039.29948553622,-6301.717250446565,-76327.51745612387,-4127.688739749316,14785.097279228634,-0.03712715864411553,-0.054616153007031425,-0.00870460602251252,-0.05686645657937328,0.006864262698262201,0.040771055446012894
11071647.965724636,-8303735.974293477,5535823.982862318,0.0,0.0,0.0,-8303735.974293477,19682475.142596036,3075003.1940090833,-11378739.16830256,11378739.16830256,0.0,5535823.982862318,3075003.1940090833,26243300.19012805,-11378739.16830256,7585826.1122017065,0.0,0.0,-11378739.16830256,-11378739.16830256,35368669.80081435,12611191.464209234,23989930.632511795,0.0,11378739.16830256,7585826.1122017065,12611191.464209234,47158226.40108581,15993287.088341197,0.0,0.0,0.0,23989930.632511795,15993287.088341197,31986574.176682394,-16244.063057581176,-76265.54255184894,7066.2785978793745,-39008.74099391169,5352.655254766373,3825.129204935428,-0.04092800029231321,-0.06060949092712723,-0.011992589049207482,-0.050691515770770704,0.02081914856900201,0.027728648004145783
4501706.357495256,-3376279.768121442,2250853.178747628,0.0,0.0,0.0,-3376279.768121442,12576992.578090535,5824433.041847652,-9200712.809969094,9200712.809969094,0.0,2250853.178747628,5824433.041847652,16769323.437454047,-9200712.809969094,6133808.539979395,0.0,0.0,-9200712.809969094,-9200712.809969094,15759912.69020516,-2641512.929733026,6559199.880236068,0.0,9200712.809969094,6133808.539979395,-2641512.929733026,21013216.92027355,4372799.920157379,0.0,0.0,0.0,6559199.880236068,4372799.920157379,8745599.840314757,-11831.546770859528,-45977.10302086249,8337.392534764895,-38267.30963121238,-5767.461404881527,9261.61564097616,-0.05796658842042001,-0.07970721439265421,-0.008884116775091815,-0.0685879435413952,0.019724068927575784,0.04263792609772906
28993447.683143914,-21745085.762357935,14496723.841571957,0.0,0.0,0.0,-21745085.762357935,40435234.2113223,-3054937.3133935705,-18690148.448964365,18690148.448964365,0.0,14496723.841571957,-3054937.3133935705,53913645.615096405,-18690148.448964365,12460098.965976244,0.0,0.0,-18690148.448964365,-18690148.448964365,27084091.043785922,-10296205.85414281,8393942.594821556,0.0,18690148.448964365,12460098.965976244,-10296205.85414281,36112121.39171456,5595961.729881037,0.0,0.0,0.0,8393942.594821556,5595961.729881037,11191923.459762074,-13728.534559400607,-78378.9245109129,1330.7609484969144,-75447.60100891045,-353.6531144960991,12751.426725399791,-0.030062501429612157,-0.051111967032467766,-0.017489957145505705,-0.05935854602705101,0.009191098853266319,0.04106270193880303
8718079.056063278,-6538559.292047458,4359039.528031639,0.0,0.0,0.0,-6538559.292047458,12879911.990606762,-197206.59348815307,-6341352.698559305,6341352.698559305,0.0,4359039.528031639,-197206.59348815307,17173215.987475686,-6341352.698559305,4227568.465706203,0.0,0.0,-6341352.698559305,-6341352.698559305,34385541.57573501,21702836.178616397,28044188.877175704,0.0,6341352.698559305,4227568.465706203,21702836.178616397,45847388.76764668,18696125.918117136,0.0,0.0,0.0,28044188.877175704,18696125.918117136,37392251.83623427,-7630.339574040776,-41433.70985226461,1449.4425306600133,-45528.97317096128,-2814.5303035589022,8995.427346939665,-0.04139729682793591,-0.0662024654626781,-0.018259568034741876,-0.0588720215379605,0.025805279558943257,0.03149194566055407
